Ticker,SID,Name,Sector,Sub-Industry
CAT,,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks
CBG,,CBRE Group,Financials,Real Estate Management & Development
CBS,,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV
CELG,,Celgene Corp.,Health Care,Biotechnology
CNP,,CenterPoint Energy,Utilities,Multi-Utilities & Unregulated Power
CTL,,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services
CERN,,Cerner,Health Care,Health Care Distributors & Services
CF,,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals
SCHW,,Charles Schwab,Financials,Diversified Financial Services
CHK,,Chesapeake Energy,Energy,Integrated Oil & Gas
CVX,,Chevron Corp.,Energy,Integrated Oil & Gas
CMG,,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,,Chubb Corp.,Financials,Property & Casualty Insurance
CI,,CIGNA Corp.,Health Care,Managed Health Care
CINF,,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,,Cintas Corporation,Industrials,Diversified Commercial Services
CSCO,,Cisco Systems,Information Technology,Networking Equipment
C,,Citigroup Inc.,Financials,Banks
CTXS,,Citrix Systems,Information Technology,Internet Software & Services
CLF,,Cliffs Natural Resources,Materials,Diversified Metals & Mining
CLX,,The Clorox Company,Consumer Staples,Household Products
CME,,CME Group Inc.,Financials,Diversified Financial Services
CMS,,CMS Energy,Utilities,Multi-Utilities & Unregulated Power
COH,,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
KO,,The Coca Cola Company,Consumer Staples,Soft Drinks
CCE,,Coca-Cola Enterprises,Consumer Staples,Soft Drinks
CTSH,,Cognizant Technology Solutions,Information Technology,IT Consulting & Services
CL,,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,,Comcast Corp.,Consumer Discretionary,Broadcasting & Cable TV
CMA,,Comerica Inc.,Financials,Banks
CSC,,Computer Sciences Corp.,Information Technology,IT Consulting & Services
CAG,,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats
COP,,ConocoPhillips,Energy,Integrated Oil & Gas
CNX,,CONSOL Energy Inc.,Energy,Oil & Gas Exploration & Production
ED,,Consolidated Edison,Utilities,Multi-Utilities & Unregulated Power
STZ,,Constellation Brands,Consumer Staples,Distillers & Vintners
GLW,,Corning Inc.,Industrials,Construction & Engineering
COST,,Costco Co.,Consumer Staples,General Merchandise Stores
CVH,,Coventry Health Care Inc.,Health Care,Managed Health Care
COV,,Covidien plc,Health Care,Health Care Equipment & Services
CCI,,Crown Castle International Corp.,Telecommunications Services,Wireless Telecommunications Services
CSX,,CSX Corp.,Industrials,Railroads
CMI,,Cummins Inc.,Industrials,Industrial Machinery
CVS,,CVS Caremark Corp.,Consumer Staples,Drug Retail
DHI,,D. R. Horton,Consumer Discretionary,Restaurants
DHR,,Danaher Corp.,Industrials,Industrial Machinery
DRI,,Darden Restaurants,Consumer Discretionary,Restaurants
DVA,,DaVita Inc.,Health Care,Health Care Facilities
DF,,Dean Foods,Consumer Staples,Packaged Foods & Meats
DE,,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks
DELL,,Dell Inc.,Information Technology,Computer Hardware
DLPH,,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment
DNR,,Denbury Resources Inc.,Energy,Oil & Gas Exploration & Production
XRAY,,Dentsply International,Health Care,Health Care Supplies
DVN,,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production
DO,,Diamond Offshore Drilling,Energy,Oil & Gas Drilling
DTV,,DirecTV,Consumer Discretionary,Broadcasting & Cable TV
DFS,,Discover Financial Services,Financials,Consumer Finance
DISCA,,Discovery Communications,Consumer Discretionary,Broadcasting & Cable TV
DG,,Dollar General,Consumer Discretionary,General Merchandise Stores
DLTR,,Dollar Tree,Consumer Discretionary,General Merchandise Stores
D,,Dominion Resources,Utilities,Multi-Utilities & Unregulated Power
DOV,,Dover Corp.,Industrials,Industrial Machinery
DOW,,Dow Chemical,Materials,Diversified Chemicals
DPS,,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks
DTE,,DTE Energy Co.,Utilities,Multi-Utilities & Unregulated Power
DD,,Du Pont (E.I.),Materials,Diversified Chemicals
DUK,,Duke Energy,Utilities,Electric Utilities
DNB,,Dun & Bradstreet,Industrials,Data Processing Services
ETFC,,E-Trade,Financials,Diversified Financial Services
EMN,,Eastman Chemical,Materials,Diversified Chemicals
ETN,,Eaton Corp.,Industrials,Industrial Conglomerates
EBAY,,eBay Inc.,Information Technology,Internet Software & Services
ECL,,Ecolab Inc.,Materials,Specialty Chemicals
EIX,,Edison Int'l,Utilities,Multi-Utilities & Unregulated Power
EW,,Edwards Lifesciences,Health Care,Health Care Equipment & Services
EA,,Electronic Arts,Information Technology,Application Software
EMC,,EMC Corp.,Information Technology,IT Consulting & Services
EMR,,Emerson Electric,Industrials,Industrial Conglomerates
ESV,,Ensco plc,Energy,Oil & Gas Drilling
ETR,,Entergy Corp.,Utilities,Electric Utilities
EOG,,EOG Resources,Energy,Oil & Gas Exploration & Production
EQT,,EQT Corporation,Utilities,Gas Utilities
EFX,,Equifax Inc.,Financials,Diversified Financial Services
EQR,,Equity Residential,Financials,REITs
EL,,Estee Lauder Cos.,Consumer Staples,Personal Products
EXC,,Exelon Corp.,Utilities,Multi-Utilities & Unregulated Power
EXPE,,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXPD,,Expeditors Int'l,Industrials,Air Freight & Logistics
ESRX,,Express Scripts,Health Care,Health Care Distributors & Services
XOM,,Exxon Mobil Corp.,Energy,Integrated Oil & Gas
FFIV,,F5 Networks,Information Technology,Networking Equipment
FDO,,Family Dollar Stores,Consumer Discretionary,General Merchandise Stores
FAST,,Fastenal Co,Industrials,Building Products
FDX,,FedEx Corporation,Industrials,Air Freight & Logistics
FIS,,Fidelity National Information Services,Information Technology,Internet Software & Services
FITB,,Fifth Third Bancorp,Financials,Banks
FHN,,First Horizon National,Financials,Banks
FSLR,,First Solar Inc,Industrials,Heavy Electrical Equipment
FE,,FirstEnergy Corp,Utilities,Multi-Utilities & Unregulated Power
FISV,,Fiserv Inc,Information Technology,Internet Software & Services
FLIR,,FLIR Systems,Industrials,Aerospace & Defense
FLS,,Flowserve Corporation,Industrials,Industrial Machinery
FLR,,Fluor Corp.,Industrials,Diversified Commercial Services
FMC,,FMC Corporation,Materials,Diversified Chemicals
FTI,,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services
F,,Ford Motor,Consumer Discretionary,Automobile Manufacturers
FRX,,Forest Laboratories,Health Care,Pharmaceuticals
FOSL,,"Fossil, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
BEN,,Franklin Resources,Financials,Diversified Financial Services
FCX,,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining
FTR,,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services
GME,,GameStop Corp.,Consumer Discretionary,Specialty Stores
GCI,,Gannett Co.,Consumer Discretionary,Publishing
GPS,,Gap (The),Consumer Discretionary,Apparel Retail
GRMN,,Garmin Ltd.,Consumer Discretionary,Consumer Electronics
GD,,General Dynamics,Industrials,Aerospace & Defense
GE,,General Electric,Industrials,Industrial Conglomerates
GIS,,General Mills,Consumer Staples,Packaged Foods & Meats
GPC,,Genuine Parts,Consumer Discretionary,Specialty Stores
GNW,,Genworth Financial Inc.,Financials,Life & Health Insurance
GILD,,Gilead Sciences,Health Care,Biotechnology
GS,,Goldman Sachs Group,Financials,Diversified Financial Services
GT,,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber
GOOG,,Google Inc.,Information Technology,Internet Software & Services
GWW,,Grainger (W.W.) Inc.,Industrials,Industrial Materials
HAL,,Halliburton Co.,Energy,Oil & Gas Equipment & Services
HOG,,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers
HAR,,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics
HRS,,Harris Corporation,Information Technology,Telecommunications Equipment
HIG,,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance
HAS,,Hasbro Inc.,Consumer Discretionary,Leisure Products
HCP,,HCP Inc.,Financials,REITs
HCN,,Health Care REIT,Financials,REITs
HNZ,,Heinz (H.J.),Consumer Staples,Packaged Foods & Meats
HP,,Helmerich & Payne,Energy,Oil & Gas Drilling
HES,,Hess Corporation,Energy,Integrated Oil & Gas
HPQ,,Hewlett-Packard,Information Technology,Computer Hardware
HD,,Home Depot,Consumer Discretionary,Home Improvement Retail
HON,,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates
HRL,,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats
HSP,,Hospira Inc.,Health Care,Health Care Equipment & Services
HST,,Host Hotels & Resorts,Financials,REITs
HCBK,,Hudson City Bancorp,Financials,Banks
HUM,,Humana Inc.,Health Care,Managed Health Care
HBAN,,Huntington Bancshares,Financials,Banks
ITW,,Illinois Tool Works,Industrials,Industrial Machinery
IR,,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates
TEG,,Integrys Energy Group Inc.,Utilities,Gas Utilities
INTC,,Intel Corp.,Information Technology,Semiconductors
ICE,,IntercontinentalExchange Inc.,Financials,Diversified Financial Services
IBM,,International Bus. Machines,Information Technology,IT Consulting & Services
IFF,,International Flav/Frag,Materials,Specialty Chemicals
IGT,,International Game Technology,Consumer Discretionary,Leisure Products
IP,,International Paper,Materials,Paper Products
IPG,,Interpublic Group,Consumer Discretionary,Advertising
INTU,,Intuit Inc.,Information Technology,Internet Software & Services
ISRG,,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services
IVZ,,Invesco Ltd.,Financials,Diversified Financial Services
IRM,,Iron Mountain Incorporated,Industrials,Data Processing Services
JBL,,Jabil Circuit,Information Technology,IT Consulting & Services
JEC,,Jacobs Engineering Group,Industrials,Industrial Conglomerates
JDSU,,JDS Uniphase Corp.,Information Technology,Telecommunications Equipment
JNJ,,Johnson & Johnson,Health Care,Health Care Equipment & Services
JCI,,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment
JOY,,Joy Global Inc.,Industrials,Industrial Machinery
JPM,,JPMorgan Chase & Co.,Financials,Banks
JNPR,,Juniper Networks,Information Technology,Networking Equipment
K,,Kellogg Co.,Consumer Staples,Packaged Foods & Meats
KEY,,KeyCorp,Financials,Banks
KMB,,Kimberly-Clark,Consumer Staples,Household Products
KIM,,Kimco Realty,Financials,REITs
KMI,,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation
KLAC,,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment
KSS,,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores
KRFT,,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats
KR,,Kroger Co.,Consumer Staples,Food Retail
LTD,,L Brands Inc.,Consumer Discretionary,Apparel Retail
LLL,,L-3 Communications Holdings,Industrials,Industrial Conglomerates
LH,,Laboratory Corp. of America Holding,Health Care,Health Care Facilities
LRCX,,Lam Research,Information Technology,Semiconductor Equipment
LM,,Legg Mason,Financials,Diversified Financial Services
LEG,,Leggett & Platt,Industrials,Industrial Conglomerates
LEN,,Lennar Corp.,Consumer Discretionary,Homebuilding
LUK,,Leucadia National Corp.,Financials,Multi-Sector Holdings
LIFE,,Life Technologies,Health Care,Biotechnology
LLY,,Lilly (Eli) & Co.,Health Care,Pharmaceuticals
LNC,,Lincoln National,Financials,Multi-line Insurance
LLTC,,Linear Technology Corp.,Information Technology,Semiconductors
LMT,,Lockheed Martin Corp.,Industrials,Aerospace & Defense
L,,Loews Corp.,Financials,Multi-Sector Holdings
LO,,Lorillard Inc.,Consumer Staples,Tobacco
LOW,,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail
LSI,,LSI Corporation,Information Technology,Semiconductors
LYB,,LyondellBasell,Materials,Diversified Chemicals
MTB,,M&T Bank Corp.,Financials,Banks
M,,Macy's Inc.,Consumer Discretionary,Department Stores
MRO,,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production
MPC,,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation
MAR,,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,,Marsh & McLennan,Financials,Insurance Brokers
MAS,,Masco Corp.,Industrials,Building Products
MA,,Mastercard Inc.,Information Technology,Internet Software & Services
MAT,,Mattel Inc.,Consumer Discretionary,Leisure Products
MKC,,McCormick & Co.,Consumer Staples,Packaged Foods & Meats
MCD,,McDonald's Corp.,Consumer Discretionary,Restaurants
MHP,,McGraw-Hill,Financials,Diversified Financial Services
MCK,,McKesson Corp.,Health Care,Health Care Distributors & Services
MJN,,Mead Johnson,Consumer Staples,Packaged Foods & Meats
MWV,,MeadWestvaco Corporation,Materials,Paper Packaging
MDT,,Medtronic Inc.,Health Care,Health Care Equipment & Services
MRK,,Merck & Co.,Health Care,Pharmaceuticals
MET,,MetLife Inc.,Financials,Life & Health Insurance
PCS,,MetroPCS Communications Inc.,Telecommunications Services,Wireless Telecommunications Services
MCHP,,Microchip Technology,Information Technology,Semiconductors
MU,,Micron Technology,Information Technology,Semiconductors
MSFT,,Microsoft Corp.,Information Technology,Systems Software
MOLX,,Molex Inc.,Information Technology,Electronic Equipment & Instruments
TAP,,Molson Coors Brewing Company,Consumer Staples,Brewers
MDLZ,,Mondelez International,Consumer Staples,Packaged Foods & Meats
MON,,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals
MNST,,Monster Beverage,Consumer Staples,Soft Drinks
MCO,,Moody's Corp,Financials,Diversified Financial Services
MS,,Morgan Stanley,Financials,Diversified Financial Services
MOS,,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MSI,,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment
MUR,,Murphy Oil,Energy,Integrated Oil & Gas
MYL,,Mylan Inc.,Health Care,Pharmaceuticals
NBR,,Nabors Industries Ltd.,Energy,Oil & Gas Drilling
NDAQ,,NASDAQ OMX Group,Financials,Diversified Financial Services
NOV,,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services
NTAP,,NetApp,Information Technology,Internet Software & Services
NFLX,,NetFlix Inc.,Information Technology,Internet Software & Services
NWL,,Newell Rubbermaid Co.,Consumer Discretionary,Housewares & Specialties
NFX,,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production
NEM,,Newmont Mining Corp. (Hldg. Co.),Materials,Gold
NWSA,,News Corporation,Consumer Discretionary,Publishing
NEE,,NextEra Energy Resources,Utilities,Multi-Utilities & Unregulated Power
NKE,,NIKE Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,,NiSource Inc.,Utilities,Multi-Utilities & Unregulated Power
NE,,Noble Corp,Energy,Oil & Gas Drilling
NBL,,Noble Energy Inc,Energy,Oil & Gas Exploration & Production
JWN,,Nordstrom,Consumer Discretionary,Department Stores
NSC,,Norfolk Southern Corp.,Industrials,Railroads
NTRS,,Northern Trust Corp.,Financials,Diversified Financial Services
NOC,,Northrop Grumman Corp.,Industrials,Aerospace & Defense
NU,,Northeast Utilities,Utilities,Multi-Utilities & Unregulated Power
NRG,,NRG Energy,Utilities,Multi-Utilities & Unregulated Power
NUE,,Nucor Corp.,Materials,Steel
NVDA,,Nvidia Corporation,Information Technology,Semiconductors
NYX,,NYSE Euronext,Financials,Diversified Financial Services
ORLY,,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OXY,,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
OMC,,Omnicom Group,Consumer Discretionary,Advertising
OKE,,ONEOK,Utilities,Gas Utilities
ORCL,,Oracle Corp.,Information Technology,Application Software
OI,,Owens-Illinois Inc,Materials,Metal & Glass Containers
PCAR,,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks
PLL,,Pall Corp.,Industrials,Industrial Conglomerates
PH,,Parker-Hannifin,Industrials,Industrial Conglomerates
PDCO,,Patterson Companies,Health Care,Health Care Supplies
PAYX,,Paychex Inc.,Information Technology,Internet Software & Services
BTU,,Peabody Energy,Energy,Oil & Gas Exploration & Production
JCP,,Penney (J.C.),Consumer Discretionary,Department Stores
PNR,,Pentair Ltd.,Industrials,Industrial Conglomerates
PBCT,,People's United Bank,Financials,Banks
POM,,Pepco Holdings Inc.,Utilities,Multi-Utilities & Unregulated Power
PEP,,PepsiCo Inc.,Consumer Staples,Soft Drinks
PKI,,PerkinElmer,Health Care,Health Care Equipment & Services
PRGO,,Perrigo,Health Care,Pharmaceuticals
PETM,,"PetSmart, Inc.",Consumer Discretionary,Specialty Stores
PFE,,Pfizer Inc.,Health Care,Pharmaceuticals
PCG,,PG&E Corp.,Utilities,Multi-Utilities & Unregulated Power
PM,,Philip Morris International,Consumer Staples,Tobacco
PSX,,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation
PNW,,Pinnacle West Capital,Utilities,Multi-Utilities & Unregulated Power
PXD,,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PBI,,Pitney-Bowes,Industrials,Data Processing Services
PCL,,Plum Creek Timber Co.,Financials,REITs
PNC,,PNC Financial Services,Financials,Banks
RL,,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
PPG,,PPG Industries,Materials,Diversified Chemicals
PPL,,PPL Corp.,Utilities,Multi-Utilities & Unregulated Power
PX,,Praxair Inc.,Materials,Industrial Gases
PCP,,Precision Castparts,Industrials,Industrial Conglomerates
PCLN,,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
PFG,,Principal Financial Group,Financials,Diversified Financial Services
PG,,Procter & Gamble,Consumer Staples,Personal Products
PGR,,Progressive Corp.,Financials,Property & Casualty Insurance
PLD,,Prologis,Financials,Diversified Financial Services
PRU,,Prudential Financial,Financials,Diversified Financial Services
PEG,,Public Serv. Enterprise Inc.,Utilities,Multi-Utilities & Unregulated Power
PSA,,Public Storage,Financials,REITs
PHM,,Pulte Homes Inc.,Consumer Discretionary,Homebuilding
PVH,,PVH Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods
QEP,,QEP Resources,Utilities,Multi-Utilities & Unregulated Power
PWR,,Quanta Services Inc.,Industrials,Industrial Conglomerates
QCOM,,QUALCOMM Inc.,Information Technology,Semiconductors
DGX,,Quest Diagnostics,Health Care,Health Care Facilities
RRC,,Range Resources Corp.,Energy,Oil & Gas Exploration & Production
RTN,,Raytheon Co.,Industrials,Aerospace & Defense
RHT,,Red Hat Inc.,Information Technology,Systems Software
RF,,Regions Financial Corp.,Financials,Diversified Financial Services
RSG,,Republic Services Inc,Industrials,Industrial Conglomerates
RAI,,Reynolds American Inc.,Consumer Staples,Tobacco
RHI,,Robert Half International,Industrials,Industrial Conglomerates
ROK,,Rockwell Automation Inc.,Industrials,Industrial Conglomerates
COL,,Rockwell Collins,Industrials,Industrial Conglomerates
ROP,,Roper Industries,Industrials,Industrial Conglomerates
ROST,,Ross Stores,Consumer Discretionary,Apparel Retail
RDC,,Rowan Cos.,Energy,Oil & Gas Drilling
R,,Ryder System,Industrials,Industrial Conglomerates
SWY,,Safeway Inc.,Consumer Staples,Food Retail
SAI,,SAIC,Industrials,Aerospace & Defense
CRM,,Salesforce.com,Information Technology,Internet Software & Services
SNDK,,SanDisk Corporation,Information Technology,Computer Storage & Peripherals
SCG,,SCANA Corp,Utilities,Multi-Utilities & Unregulated Power
SLB,,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services
SNI,,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV
STX,,Seagate Technology,Information Technology,Computer Storage & Peripherals
SEE,,Sealed Air Corp.(New),Materials,Paper Packaging
SRE,,Sempra Energy,Utilities,Multi-Utilities & Unregulated Power
SHW,,Sherwin-Williams,Consumer Discretionary,Housewares & Specialties
SIAL,,Sigma-Aldrich,Materials,Diversified Chemicals
SPG,,Simon Property Group Inc,Financials,REITs
SLM,,SLM Corporation,Financials,Diversified Financial Services
SJM,,Smucker (J.M.),Consumer Staples,Packaged Foods & Meats
SNA,,Snap-On Inc.,Consumer Discretionary,Household Appliances
SO,,Southern Co.,Utilities,Multi-Utilities & Unregulated Power
LUV,,Southwest Airlines,Industrials,Airlines
SWN,,Southwestern Energy,Energy,Oil & Gas Exploration & Production
SE,,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation
S,,Sprint Nextel Corp.,Telecommunications Services,Wireless Telecommunications Services
STJ,,St Jude Medical,Health Care,Health Care Equipment & Services
SWK,,Stanley Black & Decker,Consumer Discretionary,Household Appliances
SPLS,,Staples Inc.,Consumer Discretionary,Specialty Stores
SBUX,,Starbucks Corp.,Consumer Discretionary,Restaurants
HOT,,Starwood Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
STT,,State Street Corp.,Financials,Diversified Financial Services
SRCL,,Stericycle Inc,Industrials,Industrial Conglomerates
SYK,,Stryker Corp.,Health Care,Health Care Equipment & Services
STI,,SunTrust Banks,Financials,Banks
SYMC,,Symantec Corp.,Information Technology,Application Software
SYY,,Sysco Corp.,Consumer Staples,Food Distributors
TROW,,T. Rowe Price Group,Financials,Diversified Financial Services
TGT,,Target Corp.,Consumer Discretionary,General Merchandise Stores
TEL,,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments
TE,,TECO Energy,Utilities,Multi-Utilities & Unregulated Power
THC,,Tenet Healthcare Corp.,Health Care,Health Care Facilities
TDC,,Teradata Corp.,Information Technology,Application Software
TER,,Teradyne Inc.,Information Technology,Semiconductor Equipment
TSO,,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation
TXN,,Texas Instruments,Information Technology,Semiconductors
TXT,,Textron Inc.,Industrials,Industrial Conglomerates
HSY,,The Hershey Company,Consumer Staples,Packaged Foods & Meats
TRV,,The Travelers Companies Inc.,Financials,Property & Casualty Insurance
TMO,,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services
TIF,,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TWX,,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV
TWC,,Time Warner Cable Inc.,Consumer Discretionary,Broadcasting & Cable TV
TJX,,TJX Companies Inc.,Consumer Discretionary,Apparel Retail
TMK,,Torchmark Corp.,Financials,Life & Health Insurance
TSS,,Total System Services,Information Technology,Internet Software & Services
